INSERT INTO listagiochi (emailutente, idgioco) values
('bkpqwmfsve@qmswg.rqz',42463),
('bkpqwmfsve@qmswg.rqz',43095),
('bkpqwmfsve@qmswg.rqz',44881),
('bkpqwmfsve@qmswg.rqz',45142),
('bkpqwmfsve@qmswg.rqz',46808),
('bkpqwmfsve@qmswg.rqz',54915),
('bkpqwmfsve@qmswg.rqz',55615),
('bkpqwmfsve@qmswg.rqz',56142),
('bkpqwmfsve@qmswg.rqz',56409),
('bkpqwmfsve@qmswg.rqz',57032),
('bkpqwmfsve@qmswg.rqz',57748),
('bkpqwmfsve@qmswg.rqz',57770),
('bkpqwmfsve@qmswg.rqz',58467),
('bkpqwmfsve@qmswg.rqz',60805),
('bkpqwmfsve@qmswg.rqz',60876),
('bkpqwmfsve@qmswg.rqz',61541),
('bkpqwmfsve@qmswg.rqz',63380),
('bkpqwmfsve@qmswg.rqz',66376),
('bkpqwmfsve@qmswg.rqz',66949),
('bkpqwmfsve@qmswg.rqz',73147),
('bkpqwmfsve@qmswg.rqz',73500),
('bkpqwmfsve@qmswg.rqz',75337),
('bkpqwmfsve@qmswg.rqz',79031),
('bkpqwmfsve@qmswg.rqz',81173),
('bkpqwmfsve@qmswg.rqz',81923),
('bkpqwmfsve@qmswg.rqz',829),
('bkpqwmfsve@qmswg.rqz',85272),
('bkpqwmfsve@qmswg.rqz',85839),
('bkpqwmfsve@qmswg.rqz',87418),
('bkpqwmfsve@qmswg.rqz',94430),
('bkpqwmfsve@qmswg.rqz',95080),
('bkpqwmfsve@qmswg.rqz',95540),
('bkpqwmfsve@qmswg.rqz',98186),
('bltjudxsps@onwzd.twv',18412),
('bltjudxsps@onwzd.twv',20323),
('bltjudxsps@onwzd.twv',21086),
('bltjudxsps@onwzd.twv',21831),
('bltjudxsps@onwzd.twv',24872),
('bltjudxsps@onwzd.twv',26399),
('bltjudxsps@onwzd.twv',26560),
('bltjudxsps@onwzd.twv',2787),
('bltjudxsps@onwzd.twv',28317),
('bltjudxsps@onwzd.twv',30855),
('bltjudxsps@onwzd.twv',31045),
('bltjudxsps@onwzd.twv',31470),
('bltjudxsps@onwzd.twv',36128),
('bltjudxsps@onwzd.twv',36691),
('bltjudxsps@onwzd.twv',39314),
('bltjudxsps@onwzd.twv',40227),
('bltjudxsps@onwzd.twv',4133),
('bltjudxsps@onwzd.twv',41544),
('bltjudxsps@onwzd.twv',44818),
('bltjudxsps@onwzd.twv',46808),
('bltjudxsps@onwzd.twv',53664),
('bltjudxsps@onwzd.twv',54915),
('bltjudxsps@onwzd.twv',56142),
('bltjudxsps@onwzd.twv',56409),
('bltjudxsps@onwzd.twv',57363),
('bltjudxsps@onwzd.twv',57748),
('bltjudxsps@onwzd.twv',57770),
('bltjudxsps@onwzd.twv',58467),
('bltjudxsps@onwzd.twv',60805),
('bltjudxsps@onwzd.twv',60876),
('bltjudxsps@onwzd.twv',61541),
('bltjudxsps@onwzd.twv',66949),
('bltjudxsps@onwzd.twv',71360),
('bltjudxsps@onwzd.twv',71866),
('bltjudxsps@onwzd.twv',73147),
('bltjudxsps@onwzd.twv',75337),
('bltjudxsps@onwzd.twv',78220),
('bltjudxsps@onwzd.twv',79031),
('bltjudxsps@onwzd.twv',81102),
('bltjudxsps@onwzd.twv',81173),
('bltjudxsps@onwzd.twv',829),
('bltjudxsps@onwzd.twv',84932),
('bltjudxsps@onwzd.twv',85272),
('bltjudxsps@onwzd.twv',85821),
('bltjudxsps@onwzd.twv',85839),
('bltjudxsps@onwzd.twv',88173),
('bltjudxsps@onwzd.twv',88735),
('bltjudxsps@onwzd.twv',89071),
('bltjudxsps@onwzd.twv',93581),
('bltjudxsps@onwzd.twv',94413),
('bltjudxsps@onwzd.twv',94430),
('bmgswovrzw@wvmdq.nal',12127),
('bmgswovrzw@wvmdq.nal',13583),
('bmgswovrzw@wvmdq.nal',14239),
('bmgswovrzw@wvmdq.nal',14676),
('bmgswovrzw@wvmdq.nal',16673),
('bmgswovrzw@wvmdq.nal',20323),
('bmgswovrzw@wvmdq.nal',21086),
('bmgswovrzw@wvmdq.nal',21194),
('bmgswovrzw@wvmdq.nal',25728),
('bmgswovrzw@wvmdq.nal',26399),
('bmgswovrzw@wvmdq.nal',2719),
('bmgswovrzw@wvmdq.nal',2787),
('bmgswovrzw@wvmdq.nal',30),
('bmgswovrzw@wvmdq.nal',30855),
('bmgswovrzw@wvmdq.nal',31045),
('bmgswovrzw@wvmdq.nal',32527),
('bmgswovrzw@wvmdq.nal',33777),
('bmgswovrzw@wvmdq.nal',34791),
('bmgswovrzw@wvmdq.nal',35823),
('bmgswovrzw@wvmdq.nal',36011),
('bmgswovrzw@wvmdq.nal',39314),
('bmgswovrzw@wvmdq.nal',41859),
('bmgswovrzw@wvmdq.nal',42463),
('bmgswovrzw@wvmdq.nal',43095),
('bmgswovrzw@wvmdq.nal',46808),
('bmgswovrzw@wvmdq.nal',53664),
('bmgswovrzw@wvmdq.nal',56409),
('bmgswovrzw@wvmdq.nal',57363),
('bmgswovrzw@wvmdq.nal',60118),
('bmgswovrzw@wvmdq.nal',66949),
('bmgswovrzw@wvmdq.nal',68320),
('bmgswovrzw@wvmdq.nal',68439),
('bmgswovrzw@wvmdq.nal',69604),
('bmgswovrzw@wvmdq.nal',71360),
('bmgswovrzw@wvmdq.nal',72549),
('bmgswovrzw@wvmdq.nal',73147),
('bmgswovrzw@wvmdq.nal',73500),
('bmgswovrzw@wvmdq.nal',78220),
('bmgswovrzw@wvmdq.nal',79031),
('bmgswovrzw@wvmdq.nal',85272),
('bmgswovrzw@wvmdq.nal',88837),
('bmgswovrzw@wvmdq.nal',98186),
('bnxeizrajd@qsqfz.hbl',14239),
('bnxeizrajd@qsqfz.hbl',21831),
('bnxeizrajd@qsqfz.hbl',25044),
('bnxeizrajd@qsqfz.hbl',25728),
('bnxeizrajd@qsqfz.hbl',31470),
('bnxeizrajd@qsqfz.hbl',32527),
('bnxeizrajd@qsqfz.hbl',33777),
('bnxeizrajd@qsqfz.hbl',36011),
('bnxeizrajd@qsqfz.hbl',36128),
('bnxeizrajd@qsqfz.hbl',39314),
('bnxeizrajd@qsqfz.hbl',41827),
('bnxeizrajd@qsqfz.hbl',44881),
('bnxeizrajd@qsqfz.hbl',56409),
('bnxeizrajd@qsqfz.hbl',57748),
('bnxeizrajd@qsqfz.hbl',66949),
('bnxeizrajd@qsqfz.hbl',68439),
('bnxeizrajd@qsqfz.hbl',79031),
('bnxeizrajd@qsqfz.hbl',85272),
('bnxeizrajd@qsqfz.hbl',85839),
('bnxeizrajd@qsqfz.hbl',89071),
('bvghcvukqj@ywifq.pmc',12127),
('bvghcvukqj@ywifq.pmc',14239),
('bvghcvukqj@ywifq.pmc',21831),
('bvghcvukqj@ywifq.pmc',24872),
('bvghcvukqj@ywifq.pmc',25044),
('bvghcvukqj@ywifq.pmc',25728),
('bvghcvukqj@ywifq.pmc',2719),
('bvghcvukqj@ywifq.pmc',2787),
('bvghcvukqj@ywifq.pmc',30855),
('bvghcvukqj@ywifq.pmc',31470),
('bvghcvukqj@ywifq.pmc',34791),
('bvghcvukqj@ywifq.pmc',36691),
('bvghcvukqj@ywifq.pmc',40227),
('bvghcvukqj@ywifq.pmc',42463),
('bvghcvukqj@ywifq.pmc',43095),
('bvghcvukqj@ywifq.pmc',56142),
('bvghcvukqj@ywifq.pmc',56409),
('bvghcvukqj@ywifq.pmc',57032),
('bvghcvukqj@ywifq.pmc',57748),
('bvghcvukqj@ywifq.pmc',60876),
('bvghcvukqj@ywifq.pmc',61541),
('bvghcvukqj@ywifq.pmc',63380),
('bvghcvukqj@ywifq.pmc',68320),
('bvghcvukqj@ywifq.pmc',68439),
('bvghcvukqj@ywifq.pmc',71866),
('bvghcvukqj@ywifq.pmc',72549),
('bvghcvukqj@ywifq.pmc',78220),
('bvghcvukqj@ywifq.pmc',81923),
('bvghcvukqj@ywifq.pmc',84932),
('bvghcvukqj@ywifq.pmc',85821),
('bvghcvukqj@ywifq.pmc',85839),
('bvghcvukqj@ywifq.pmc',89071),
('bvghcvukqj@ywifq.pmc',94430),
('bvghcvukqj@ywifq.pmc',98186),
('bvghcvukqj@ywifq.pmc',9867),
('cczvhhphdf@clxkd.cyr',12127),
('cczvhhphdf@clxkd.cyr',14676),
('cczvhhphdf@clxkd.cyr',16673),
('cczvhhphdf@clxkd.cyr',20198),
('cczvhhphdf@clxkd.cyr',20323),
('cczvhhphdf@clxkd.cyr',20592),
('cczvhhphdf@clxkd.cyr',21194),
('cczvhhphdf@clxkd.cyr',21831),
('cczvhhphdf@clxkd.cyr',25044),
('cczvhhphdf@clxkd.cyr',25728),
('cczvhhphdf@clxkd.cyr',26560),
('cczvhhphdf@clxkd.cyr',28317),
('cczvhhphdf@clxkd.cyr',30855),
('cczvhhphdf@clxkd.cyr',31470),
('cczvhhphdf@clxkd.cyr',32527),
('cczvhhphdf@clxkd.cyr',36011),
('cczvhhphdf@clxkd.cyr',3654),
('cczvhhphdf@clxkd.cyr',39314),
('cczvhhphdf@clxkd.cyr',40227),
('cczvhhphdf@clxkd.cyr',40295),
('cczvhhphdf@clxkd.cyr',4133),
('cczvhhphdf@clxkd.cyr',41827),
('cczvhhphdf@clxkd.cyr',4206),
('cczvhhphdf@clxkd.cyr',42463),
('cczvhhphdf@clxkd.cyr',44818),
('cczvhhphdf@clxkd.cyr',44881),
('cczvhhphdf@clxkd.cyr',46808),
('cczvhhphdf@clxkd.cyr',53664),
('cczvhhphdf@clxkd.cyr',54915),
('cczvhhphdf@clxkd.cyr',55615),
('cczvhhphdf@clxkd.cyr',56409),
('cczvhhphdf@clxkd.cyr',57032),
('cczvhhphdf@clxkd.cyr',58467),
('cczvhhphdf@clxkd.cyr',60805),
('cczvhhphdf@clxkd.cyr',60876),
('cczvhhphdf@clxkd.cyr',61541),
('cczvhhphdf@clxkd.cyr',62921),
('cczvhhphdf@clxkd.cyr',66376),
('cczvhhphdf@clxkd.cyr',66949),
('cczvhhphdf@clxkd.cyr',68320),
('cczvhhphdf@clxkd.cyr',68439),
('cczvhhphdf@clxkd.cyr',71360),
('cczvhhphdf@clxkd.cyr',71843),
('cczvhhphdf@clxkd.cyr',72549),
('cczvhhphdf@clxkd.cyr',73147),
('cczvhhphdf@clxkd.cyr',73500),
('cczvhhphdf@clxkd.cyr',78220),
('cczvhhphdf@clxkd.cyr',81173),
('cczvhhphdf@clxkd.cyr',81923),
('cczvhhphdf@clxkd.cyr',829),
('cczvhhphdf@clxkd.cyr',85272),
('cczvhhphdf@clxkd.cyr',85350),
('cczvhhphdf@clxkd.cyr',87418),
('cczvhhphdf@clxkd.cyr',88735),
('cczvhhphdf@clxkd.cyr',93581),
('cczvhhphdf@clxkd.cyr',94413),
('cczvhhphdf@clxkd.cyr',94430),
('cczvhhphdf@clxkd.cyr',95080),
('cczvhhphdf@clxkd.cyr',98186),
('cczvhhphdf@clxkd.cyr',9867),
('chzhcmjraq@vrxzp.oic',13583),
('chzhcmjraq@vrxzp.oic',14239),
('chzhcmjraq@vrxzp.oic',16673),
('chzhcmjraq@vrxzp.oic',20198),
('chzhcmjraq@vrxzp.oic',21086),
('chzhcmjraq@vrxzp.oic',25728),
('chzhcmjraq@vrxzp.oic',26560),
('chzhcmjraq@vrxzp.oic',30855),
('chzhcmjraq@vrxzp.oic',31045),
('chzhcmjraq@vrxzp.oic',33777),
('chzhcmjraq@vrxzp.oic',35823),
('chzhcmjraq@vrxzp.oic',36128),
('chzhcmjraq@vrxzp.oic',3654),
('chzhcmjraq@vrxzp.oic',41827),
('chzhcmjraq@vrxzp.oic',44818),
('chzhcmjraq@vrxzp.oic',46808),
('chzhcmjraq@vrxzp.oic',54915),
('chzhcmjraq@vrxzp.oic',55460),
('chzhcmjraq@vrxzp.oic',55615),
('chzhcmjraq@vrxzp.oic',57032),
('chzhcmjraq@vrxzp.oic',57363),
('chzhcmjraq@vrxzp.oic',57770),
('chzhcmjraq@vrxzp.oic',58467),
('chzhcmjraq@vrxzp.oic',60118),
('chzhcmjraq@vrxzp.oic',61541),
('chzhcmjraq@vrxzp.oic',63380),
('chzhcmjraq@vrxzp.oic',68320),
('chzhcmjraq@vrxzp.oic',68439),
('chzhcmjraq@vrxzp.oic',69604),
('chzhcmjraq@vrxzp.oic',71360),
('chzhcmjraq@vrxzp.oic',71866),
('chzhcmjraq@vrxzp.oic',75337),
('chzhcmjraq@vrxzp.oic',79031),
('chzhcmjraq@vrxzp.oic',81173),
('chzhcmjraq@vrxzp.oic',81923),
('chzhcmjraq@vrxzp.oic',85272),
('chzhcmjraq@vrxzp.oic',85821),
('chzhcmjraq@vrxzp.oic',88173),
('chzhcmjraq@vrxzp.oic',88735),
('chzhcmjraq@vrxzp.oic',89071),
('chzhcmjraq@vrxzp.oic',95540),
('ckmugtlydu@gqcdr.pwj',12127),
('ckmugtlydu@gqcdr.pwj',13583),
('ckmugtlydu@gqcdr.pwj',14239),
('ckmugtlydu@gqcdr.pwj',21194),
('ckmugtlydu@gqcdr.pwj',22684),
('ckmugtlydu@gqcdr.pwj',26399),
('ckmugtlydu@gqcdr.pwj',26560),
('ckmugtlydu@gqcdr.pwj',2719),
('ckmugtlydu@gqcdr.pwj',28317),
('ckmugtlydu@gqcdr.pwj',30855),
('ckmugtlydu@gqcdr.pwj',31045),
('ckmugtlydu@gqcdr.pwj',31470),
('ckmugtlydu@gqcdr.pwj',32527),
('ckmugtlydu@gqcdr.pwj',3654),
('ckmugtlydu@gqcdr.pwj',39314),
('ckmugtlydu@gqcdr.pwj',4133),
('ckmugtlydu@gqcdr.pwj',4206),
('ckmugtlydu@gqcdr.pwj',44818),
('ckmugtlydu@gqcdr.pwj',55460),
('ckmugtlydu@gqcdr.pwj',56142),
('ckmugtlydu@gqcdr.pwj',57032),
('ckmugtlydu@gqcdr.pwj',57363),
('ckmugtlydu@gqcdr.pwj',58467),
('ckmugtlydu@gqcdr.pwj',60876),
('ckmugtlydu@gqcdr.pwj',62921),
('ckmugtlydu@gqcdr.pwj',68320),
('ckmugtlydu@gqcdr.pwj',71360),
('ckmugtlydu@gqcdr.pwj',71843),
('ckmugtlydu@gqcdr.pwj',71866),
('ckmugtlydu@gqcdr.pwj',73147),
('ckmugtlydu@gqcdr.pwj',78220),
('ckmugtlydu@gqcdr.pwj',829),
('ckmugtlydu@gqcdr.pwj',85821),
('ckmugtlydu@gqcdr.pwj',88837),
('ckmugtlydu@gqcdr.pwj',94413),
('dwzdqosiwj@wyizz.zcl',14239),
('dwzdqosiwj@wyizz.zcl',16673),
('dwzdqosiwj@wyizz.zcl',18412),
('dwzdqosiwj@wyizz.zcl',21086),
('dwzdqosiwj@wyizz.zcl',22684),
('dwzdqosiwj@wyizz.zcl',24872),
('dwzdqosiwj@wyizz.zcl',2719),
('dwzdqosiwj@wyizz.zcl',33777),
('dwzdqosiwj@wyizz.zcl',35823),
('dwzdqosiwj@wyizz.zcl',36011),
('dwzdqosiwj@wyizz.zcl',43095),
('dwzdqosiwj@wyizz.zcl',44881),
('dwzdqosiwj@wyizz.zcl',45142),
('dwzdqosiwj@wyizz.zcl',53664),
('dwzdqosiwj@wyizz.zcl',56409),
('dwzdqosiwj@wyizz.zcl',57032),
('dwzdqosiwj@wyizz.zcl',57770),
('dwzdqosiwj@wyizz.zcl',61541),
('dwzdqosiwj@wyizz.zcl',63380),
('dwzdqosiwj@wyizz.zcl',68320),
('dwzdqosiwj@wyizz.zcl',71360),
('dwzdqosiwj@wyizz.zcl',71843),
('dwzdqosiwj@wyizz.zcl',72549),
('dwzdqosiwj@wyizz.zcl',73500),
('dwzdqosiwj@wyizz.zcl',81173),
('dwzdqosiwj@wyizz.zcl',85350),
('dwzdqosiwj@wyizz.zcl',85821),
('dwzdqosiwj@wyizz.zcl',85839),
('dwzdqosiwj@wyizz.zcl',87418),
('dwzdqosiwj@wyizz.zcl',89071),
('dwzdqosiwj@wyizz.zcl',94413),
('dwzdqosiwj@wyizz.zcl',95080),
('dwzdqosiwj@wyizz.zcl',95540),
('dwzdqosiwj@wyizz.zcl',9867),
('ekelykpsbj@uojdy.pbb',13583),
('ekelykpsbj@uojdy.pbb',14239),
('ekelykpsbj@uojdy.pbb',14676),
('ekelykpsbj@uojdy.pbb',16673),
('ekelykpsbj@uojdy.pbb',20198),
('ekelykpsbj@uojdy.pbb',20323),
('ekelykpsbj@uojdy.pbb',20592),
('ekelykpsbj@uojdy.pbb',21086),
('ekelykpsbj@uojdy.pbb',21194),
('ekelykpsbj@uojdy.pbb',22684),
('ekelykpsbj@uojdy.pbb',25044),
('ekelykpsbj@uojdy.pbb',25728),
('ekelykpsbj@uojdy.pbb',26399),
('ekelykpsbj@uojdy.pbb',26560),
('ekelykpsbj@uojdy.pbb',2719),
('ekelykpsbj@uojdy.pbb',28317),
('ekelykpsbj@uojdy.pbb',30855),
('ekelykpsbj@uojdy.pbb',31470),
('ekelykpsbj@uojdy.pbb',32527),
('ekelykpsbj@uojdy.pbb',34791),
('ekelykpsbj@uojdy.pbb',36128),
('ekelykpsbj@uojdy.pbb',41544),
('ekelykpsbj@uojdy.pbb',41827),
('ekelykpsbj@uojdy.pbb',41859),
('ekelykpsbj@uojdy.pbb',43095),
('ekelykpsbj@uojdy.pbb',46808),
('ekelykpsbj@uojdy.pbb',53664),
('ekelykpsbj@uojdy.pbb',55615),
('ekelykpsbj@uojdy.pbb',57032),
('ekelykpsbj@uojdy.pbb',57748),
('ekelykpsbj@uojdy.pbb',58467),
('ekelykpsbj@uojdy.pbb',60118),
('ekelykpsbj@uojdy.pbb',60805),
('ekelykpsbj@uojdy.pbb',61541),
('ekelykpsbj@uojdy.pbb',66949),
('ekelykpsbj@uojdy.pbb',68439),
('ekelykpsbj@uojdy.pbb',69604),
('ekelykpsbj@uojdy.pbb',71843),
('ekelykpsbj@uojdy.pbb',72549),
('ekelykpsbj@uojdy.pbb',73500),
('ekelykpsbj@uojdy.pbb',75337),
('ekelykpsbj@uojdy.pbb',77626),
('ekelykpsbj@uojdy.pbb',79031),
('ekelykpsbj@uojdy.pbb',81102),
('ekelykpsbj@uojdy.pbb',81173),
('ekelykpsbj@uojdy.pbb',81923),
('ekelykpsbj@uojdy.pbb',85350),
('ekelykpsbj@uojdy.pbb',85821),
('ekelykpsbj@uojdy.pbb',85839),
('ekelykpsbj@uojdy.pbb',87418),
('ekelykpsbj@uojdy.pbb',88173),
('ekelykpsbj@uojdy.pbb',88735),
('ekelykpsbj@uojdy.pbb',94430),
('ekelykpsbj@uojdy.pbb',95080),
('gmevgouavi@qzizz.xnj',14239),
('gmevgouavi@qzizz.xnj',22684),
('gmevgouavi@qzizz.xnj',24872),
('gmevgouavi@qzizz.xnj',2719),
('gmevgouavi@qzizz.xnj',30),
('gmevgouavi@qzizz.xnj',31045),
('gmevgouavi@qzizz.xnj',41827),
('gmevgouavi@qzizz.xnj',42463),
('gmevgouavi@qzizz.xnj',45142),
('gmevgouavi@qzizz.xnj',53664),
('gmevgouavi@qzizz.xnj',54915),
('gmevgouavi@qzizz.xnj',55460),
('gmevgouavi@qzizz.xnj',57748),
('gmevgouavi@qzizz.xnj',62921),
('gmevgouavi@qzizz.xnj',69604),
('gmevgouavi@qzizz.xnj',78220),
('gmevgouavi@qzizz.xnj',81923),
('gmevgouavi@qzizz.xnj',85350),
('gmevgouavi@qzizz.xnj',88837),
('gmevgouavi@qzizz.xnj',95540),
('gmevgouavi@qzizz.xnj',98186),
('goxoamveso@zmicv.uvj',14676),
('goxoamveso@zmicv.uvj',21831),
('goxoamveso@zmicv.uvj',26399),
('goxoamveso@zmicv.uvj',28317),
('goxoamveso@zmicv.uvj',30),
('goxoamveso@zmicv.uvj',31045),
('goxoamveso@zmicv.uvj',35823),
('goxoamveso@zmicv.uvj',40295),
('goxoamveso@zmicv.uvj',4206),
('goxoamveso@zmicv.uvj',43095),
('goxoamveso@zmicv.uvj',44881),
('goxoamveso@zmicv.uvj',45142),
('goxoamveso@zmicv.uvj',46808),
('goxoamveso@zmicv.uvj',55460),
('goxoamveso@zmicv.uvj',57363),
('goxoamveso@zmicv.uvj',58467),
('goxoamveso@zmicv.uvj',60805),
('goxoamveso@zmicv.uvj',60876),
('goxoamveso@zmicv.uvj',66949),
('goxoamveso@zmicv.uvj',73147),
('goxoamveso@zmicv.uvj',73500),
('goxoamveso@zmicv.uvj',75337),
('goxoamveso@zmicv.uvj',79031),
('goxoamveso@zmicv.uvj',81923),
('goxoamveso@zmicv.uvj',85350),
('goxoamveso@zmicv.uvj',85821),
('goxoamveso@zmicv.uvj',88735),
('goxoamveso@zmicv.uvj',88837),
('goxoamveso@zmicv.uvj',89071),
('goxoamveso@zmicv.uvj',95540),
('goxoamveso@zmicv.uvj',98186),
('goxoamveso@zmicv.uvj',9867),
('hmaszwqdvg@yxgnx.bst',12127),
('hmaszwqdvg@yxgnx.bst',13583),
('hmaszwqdvg@yxgnx.bst',14676),
('hmaszwqdvg@yxgnx.bst',16673),
('hmaszwqdvg@yxgnx.bst',26399),
('hmaszwqdvg@yxgnx.bst',31470),
('hmaszwqdvg@yxgnx.bst',33777),
('hmaszwqdvg@yxgnx.bst',34791),
('hmaszwqdvg@yxgnx.bst',40295),
('hmaszwqdvg@yxgnx.bst',41544),
('hmaszwqdvg@yxgnx.bst',4206),
('hmaszwqdvg@yxgnx.bst',42463),
('hmaszwqdvg@yxgnx.bst',44881),
('hmaszwqdvg@yxgnx.bst',45142),
('hmaszwqdvg@yxgnx.bst',46808),
('hmaszwqdvg@yxgnx.bst',54915),
('hmaszwqdvg@yxgnx.bst',57363),
('hmaszwqdvg@yxgnx.bst',57748),
('hmaszwqdvg@yxgnx.bst',57770),
('hmaszwqdvg@yxgnx.bst',58467),
('hmaszwqdvg@yxgnx.bst',60876),
('hmaszwqdvg@yxgnx.bst',62921),
('hmaszwqdvg@yxgnx.bst',63380),
('hmaszwqdvg@yxgnx.bst',66376),
('hmaszwqdvg@yxgnx.bst',68320),
('hmaszwqdvg@yxgnx.bst',68439),
('hmaszwqdvg@yxgnx.bst',71360),
('hmaszwqdvg@yxgnx.bst',72549),
('hmaszwqdvg@yxgnx.bst',77626),
('hmaszwqdvg@yxgnx.bst',79031),
('hmaszwqdvg@yxgnx.bst',81923),
('hmaszwqdvg@yxgnx.bst',85821),
('hmaszwqdvg@yxgnx.bst',87418),
('hmaszwqdvg@yxgnx.bst',88837),
('hmaszwqdvg@yxgnx.bst',93581),
('hmaszwqdvg@yxgnx.bst',95540),
('iwnrnlvxyc@akukp.zpv',13583),
('iwnrnlvxyc@akukp.zpv',21086),
('iwnrnlvxyc@akukp.zpv',21194),
('iwnrnlvxyc@akukp.zpv',21831),
('iwnrnlvxyc@akukp.zpv',24872),
('iwnrnlvxyc@akukp.zpv',26560),
('iwnrnlvxyc@akukp.zpv',30855),
('iwnrnlvxyc@akukp.zpv',31045),
('iwnrnlvxyc@akukp.zpv',31470),
('iwnrnlvxyc@akukp.zpv',33777),
('iwnrnlvxyc@akukp.zpv',36128),
('iwnrnlvxyc@akukp.zpv',39314),
('iwnrnlvxyc@akukp.zpv',4133),
('iwnrnlvxyc@akukp.zpv',44818),
('iwnrnlvxyc@akukp.zpv',44881),
('iwnrnlvxyc@akukp.zpv',55615),
('iwnrnlvxyc@akukp.zpv',60118),
('iwnrnlvxyc@akukp.zpv',60805),
('iwnrnlvxyc@akukp.zpv',61541),
('iwnrnlvxyc@akukp.zpv',63380),
('iwnrnlvxyc@akukp.zpv',66376),
('iwnrnlvxyc@akukp.zpv',68320),
('iwnrnlvxyc@akukp.zpv',71360),
('iwnrnlvxyc@akukp.zpv',75337),
('iwnrnlvxyc@akukp.zpv',79031),
('iwnrnlvxyc@akukp.zpv',81102),
('iwnrnlvxyc@akukp.zpv',829),
('iwnrnlvxyc@akukp.zpv',88735),
('iwnrnlvxyc@akukp.zpv',88837),
('iwnrnlvxyc@akukp.zpv',94413),
